0085518104;20180514;P802;DC33;P8
0085518105;20180514;P801;DC33;P8
0085518106;20180515;CN01;DC31;CN
0085518107;20180515;CN03;DC31;CN
0085518108;20180515;CN04;DC31;CN
0085518109;20180515;CN08;DC31;CN
0085518110;20180515;CN14;DC31;CN
0085518111;20180515;CN15;DC31;CN
0085518112;20180515;CN18;DC31;CN
0085512012;20170803;E802;D723;
0085512015;20170803;E802;D723;
0085512017;20170803;E802;D723;
0085515019;20170828;PS02;DC63;SP
0085526440;20191125;AF02;DC61;SP
0180514047;20180213;;;
0085518168;20180522;HO33;DC33;
0085518169;20180522;P801;DC33;P8
0075647007;20180714;PS02;D178;SP
0085521066;20180714;SS07;D178;SP
0085521077;20180719;CN01;DC31;CN
0075647013;20180718;AF01;D178;SP
0075647014;20180718;AF01;D178;SP
0085521074;20180718;PS07;D178;SP
0085521085;20180719;CN01;DC31;CN
0085521087;20180719;CN01;DC31;CN
0085521088;20180719;CN01;DC31;CN
0085521091;20180720;CN02;DC31;CN
0180513046;20171031;;;
0095547028;20171108;0000409673;DC50;
0180513048;20171101;;;
0180513055;20171113;;;
0085516108;20171127;RA01;DC32;
0085516128;20171205;JU01;DC15;LS
0085518113;20180515;CN19;DC31;CN
0085518114;20180515;CN02;DC31;CN
0085518115;20180515;CN05;DC31;CN
0085518116;20180515;CN06;DC31;CN
0085518117;20180515;CN07;DC31;CN
0085518118;20180515;CN09;DC31;CN
0085518119;20180515;CN10;DC31;CN
0085518120;20180515;CN11;DC31;CN
0085518121;20180515;CN16;DC31;CN
0085518122;20180515;CN17;DC31;CN
0008480965;20170427;0000407006;DC03;
0095542000;20170427;0000409662;DCFA;FA
0180511048;20170803;;;
0085512016;20170803;D723;DC23;GI
0180513050;20171106;;;
0085522019;20180807;HS78;D178;SP
0085522020;20180807;HS78;D178;SP
0180517146;20180913;;;
0180912149;20211112;;;
0095552000;20180917;0000409643;DC82;
0095552100;20180917;0000409643;DC82;
0085528715;20211111;E125;DCE3;SP
0085510016;20170502;AF09;DC67;SP
0095547022;20171107;0000409672;DC34;ZH
0180513053;20171107;;;
0095547021;20171107;0000409673;DC50;
0095547027;20171108;0000409673;DC50;
0095547029;20171108;0000409673;DC50;
0085518175;20180523;CN01;DC31;CN
0085518176;20180523;CN01;DC31;CN
0085518133;20180516;MG01;DC78;MG
0085518134;20180517;HO33;DC33;
0085518135;20180517;P801;DC33;P8
0085518136;20180517;P802;DC33;P8
0095548080;20180518;0000520676;DCHO;FA
0095548081;20180518;0000520676;DCHO;FA
0085518153;20180521;CN05;DC31;CN
0180515070;20180522;;;
0085511033;20170509;LC17;DCFA;FA
0085511037;20170509;S502;DC38;SI
0085511039;20170510;MS32;DCMS;MS
0085512011;20170803;LC24;DCFA;FA
0085515018;20170825;PS02;DC63;SP
0096306000;20180918;0000409643;DC82;
0096306100;20180918;0000409643;DC82;
0085524114;20180918;SK28;DC61;SP
0095552300;20180918;0000450759;DC82;
0085524412;20180918;SK28;DC61;SP
0095552500;20180918;0000450759;DC82;
0095552400;20180918;0000409643;DC82;
0095552301;20180918;0000409643;DC82;
0095552600;20180918;0000450759;DC82;
0085524811;20180919;AD01;DC64;SP
0180509048;20170417;;;
0180509060;20170421;;;
0180509061;20170421;;;
0085508011;20170427;S701;DC18;SI
0180511050;20170803;;;
0085518154;20180521;CN05;DC31;CN
0085518157;20180522;CN05;DC31;CN
0095548082;20180522;0000520676;DCHO;FA
0085518177;20180523;CN01;DC31;CN
0085518178;20180523;CN01;DC31;CN
0095548083;20180523;0000407197;DC26;
0085518191;20180524;CN01;DC31;CN
0085518192;20180524;CN02;DC31;CN
0085518193;20180524;CN05;DC31;CN
